City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,portales,34.1862,-103.3344,20.01,20,38,2.68,US,1701895130
1,adamstown,-25.066,-130.1015,22.96,78,100,5.06,PN,1701895130
2,deir ez-zor,35.3359,40.1408,14.82,77,70,1.6,SY,1701895130
3,bubaque,11.2833,-15.8333,28.42,62,4,4.13,GW,1701895130
4,gedo,9.0167,37.45,12.28,79,19,0.69,ET,1701895130
5,yangliuqing,39.1375,116.9997,0.97,34,0,1.58,CN,1701895130
6,sertania,-8.0736,-37.2644,31.15,28,49,4.37,BR,1701895130
7,sinabang,2.4803,96.3801,26.26,86,100,3.97,ID,1701895130
8,atbasar,51.8,68.3333,-21.5,96,23,3.46,KZ,1701895130
9,qaqortoq,60.7167,-46.0333,1.72,60,100,4.42,GL,1701895130
10,port-aux-francais,-49.35,70.2167,4.75,85,100,8.98,TF,1701895130
11,tionk essil,12.7856,-16.5217,25.03,65,28,2.43,SN,1701895131
12,college,64.8569,-147.8028,-14.03,82,100,0.0,US,1701895131
13,devin,41.7433,24.4,5.52,100,100,0.31,BG,1701895131
14,puerto natales,-51.7236,-72.4875,14.25,44,20,11.32,CL,1701895131
15,monrovia,6.3005,-10.7969,26.87,81,3,3.38,LR,1701895131
16,dudinka,69.4058,86.1778,-25.18,98,100,3.58,RU,1701895131
17,as sulayyil,20.4607,45.5779,16.14,32,17,2.96,SA,1701895131
18,bethel,41.3712,-73.414,3.62,71,100,4.12,US,1701895131
19,thompson,55.7435,-97.8558,-3.91,93,75,4.63,CA,1701895131
20,wailua homesteads,22.0669,-159.378,25.44,74,40,5.14,US,1701895131
21,edinburgh of the seven seas,-37.0676,-12.3116,14.35,76,10,8.1,SH,1701895131
22,ushuaia,-54.8,-68.3,10.79,66,0,12.35,AR,1701895131
23,afaahiti,-17.75,-149.2833,25.93,85,100,6.44,PF,1701895132
24,port mathurin,-19.6833,63.4167,25.67,79,1,3.85,MU,1701895132
25,talnakh,69.4865,88.3972,-24.77,99,100,4.01,RU,1701895132
26,nemuro,43.3236,145.575,8.26,91,100,6.06,JP,1701895132
27,kodiak,57.79,-152.4072,0.73,51,0,11.83,US,1701895132
28,salmon arm,50.6998,-119.3024,4.68,100,100,0.51,CA,1701895132
29,blackmans bay,-43.0167,147.3167,12.07,70,100,2.34,AU,1701895132
30,grytviken,-54.2811,-36.5092,0.06,76,53,4.61,GS,1701895132
31,gataia,45.4311,21.43,2.2,99,100,2.63,RO,1701895132
32,vorkuta,67.5,64.0,-30.29,100,18,0.54,RU,1701895132
33,la passe,45.5549,-0.8967,4.13,89,67,4.0,FR,1701895132
34,kaa-khem,51.6833,94.7333,-10.89,93,100,1.17,RU,1701895132
35,inderbor,48.55,51.7833,-5.27,84,100,3.38,KZ,1701895132
36,walvis bay,-22.9575,14.5053,15.61,88,14,2.57,NA,1701895133
37,greenwood,34.1668,-82.1165,13.49,33,0,5.14,US,1701895133
38,tiksi,71.6872,128.8694,-24.99,97,100,3.67,RU,1701895133
39,tual,-5.6667,132.75,28.71,68,76,0.58,ID,1701895133
40,bhimunipatnam,17.8833,83.4333,22.59,91,84,4.47,IN,1701895133
41,waitangi,-43.9535,-176.5597,16.01,95,100,1.79,NZ,1701895133
42,bakanas,44.8081,76.2772,2.9,66,100,4.72,KZ,1701895133
43,rosetta,31.4044,30.4164,19.31,62,72,5.49,EG,1701895133
44,aykhal,66.0,111.5,-25.51,98,99,1.95,RU,1701895133
45,iqaluit,63.7506,-68.5145,-13.15,85,20,3.09,CA,1701895133
46,ribeira grande,38.5167,-28.7,19.22,72,75,9.26,PT,1701895134
47,longyearbyen,78.2186,15.6401,-4.09,68,75,10.29,SJ,1701895134
48,bredasdorp,-34.5322,20.0403,17.57,86,35,4.69,ZA,1701895134
49,ulsteinvik,62.3432,5.8487,0.97,65,100,3.13,NO,1701895134
50,petropavlovsk-kamchatsky,53.0452,158.6483,-9.19,69,0,6.71,RU,1701895134
51,prince rupert,54.3161,-130.3201,6.83,82,0,5.66,CA,1701895134
52,tura,25.5198,90.2201,19.84,71,100,0.77,IN,1701895134
53,saldanha,-33.0117,17.9442,23.03,75,0,2.24,ZA,1701895134
54,la charite-sur-loire,47.1833,3.0167,0.9,88,79,1.14,FR,1701895134
55,port lincoln,-34.7333,135.8667,16.57,71,100,5.4,AU,1701895134
56,tulucesti,45.5667,28.0333,2.4,76,100,4.78,RO,1701895134
57,porto novo,6.4965,2.6036,27.56,78,100,3.26,BJ,1701894987
58,hermanus,-34.4187,19.2345,18.09,84,3,5.11,ZA,1701895134
59,hawaiian paradise park,19.5933,-154.9731,25.57,88,40,0.89,US,1701895135
60,puerto ayora,-0.7393,-90.3518,29.98,87,88,2.68,EC,1701895135
61,nuuk,64.1835,-51.7216,7.34,29,75,12.35,GL,1701895135
62,atafu village,-8.5421,-172.5159,28.99,76,99,3.9,TK,1701895135
63,masterton,-40.9597,175.6575,15.49,57,10,2.57,NZ,1701895135
64,coquimbo,-29.9533,-71.3436,17.85,67,0,6.69,CL,1701895069
